ISO,Country,safePresc,PrimCare,SecCare,CancerCare,YsafePresc,YPrimCare,YSecCare,YCancerCare
OECD,OECD,17.038943428236,170.676355018979,6.64860964531948,61.7052048622743,2019,2019,2019,2019
AUS,Australia,32.1552161,299.7565924,3.173723513,54.5,2019,2019,2019,2019
AUT,Austria,12.093986747996,193.2698857,5.214063357,74.5,2019,2019,2019,2019
BEL,Belgium,15.937831794084,278.9084153,6.365988446,60.2,2019,2019,2019,2019
CAN,Canada,14.1542153,213.1426786,4.611635297,62,2019,2019,2019,2019
CHL,Chile,,66.26350488,7.233680084,40.124136522385,2019,2019,2019,2019
COL,Colombia,,119.5524598,5.61282414,,2019,2019,2019,2019
CRI,Costa Rica,,98.75607014,,,2019,2019,2019,2019
CZE,Czech Republic,,134.1858287,7.026506958,60.9,2019,2019,2019,2019
DNK,Denmark,13.01911264,287.0318937,4.50769399,83.2,2019,2019,2019,2019
EST,Estonia,8.269531921,84.88288412,9.193325304,55.9,2019,2019,2019,2019
FIN,Finland,12.62055298,124.7423012,6.814413669,81.3,2019,2019,2019,2019
FRA,France,23.3,120.40567306942,5.5612232123986,48.8,2019,2019,2019,2019
DEU,Germany,11.4,249.5607271,8.267965516,50.1,2019,2019,2019,2019
GRC,Greece,32.4,,,65.69,2019,2019,2019,2019
HUN,Hungary,13.3,,,39.07,2019,2019,2019,2019
ISL,Iceland,24.74936032,124.4894566,2.003095461,59.3,2019,2019,2019,2019
IRL,Ireland,21,335.5312788,4.73375286,71.6,2019,2019,2019,2019
ISR,Israel,19.61009278,154.6033879,5.297820842,72.1,2019,2019,2019,2019
ITA,Italy,19.8,38.55803851,5.3898926558107,60.7,2019,2019,2019,2019
JPN,Japan,13.14,,9.671187052,44.6,2019,2019,2019,2019
KOR,Korea,23.68538905,152.28515,8.890210223,70.2,2019,2019,2019,2019
LVA,Latvia,12,152.1423951,14.44129185,39.1,2019,2019,2019,2019
LTU,Lithuania,13.4,194.41856,9.276348407,52.9,2019,2019,2019,2019
LUX,Luxembourg,19.8,180.7218056,8.472917168,55.1,2019,2019,2019,2019
MEX,Mexico,,64.97052378,27.52147737,45.391993955978,2019,2019,2019,2019
NLD,Netherlands,12.29091347,175.65,2.86,76.1,2019,2019,2019,2019
NZL,New Zealand,,297.90731714485,4.319578021,71.5,2019,2019,2019,2019
NOR,Norway,13.6,220.9377281,3.172383729,71.6,2019,2019,2019,2019
POL,Poland,22.2,121.4684082,4.716967141,53.7,2019,2019,2019,2019
PRT,Portugal,17.9,79.10796046,7.291973783,80.2,2019,2019,2019,2019
SVK,Slovak Republic,18,109.5524575,6.339121695,30.9684984,2019,2019,2019,2019
SVN,Slovenia,11.5,89.77250126,4.196193312,76.8,2019,2019,2019,2019
ESP,Spain,23.1,177.3437933,6.5292291,81.48,2019,2019,2019,2019
SWE,Sweden,9.169865114,139.9367959,3.451316363,95.2,2019,2019,2019,2019
CHE,Switzerland,,140.9,5.1450746129726,49,2019,2019,2019,2019
TUR,Turkey,11.97223463,335.8652461,3.926318268,35.98,2019,2019,2019,2019
GBR,United Kingdom,15.6,222.9066636,6.576123718,75.082746163511,2019,2019,2019,2019
USA,United States,,194.1440431,4.896020468,76.5,2019,2019,2019,2019
