ISO,Country,smoking,alcohol,obesity,airpol,Ysmoking,Yalcohol,Yobesity,Yairpol
OECD,OECD,16.527027027027,8.7,56.3972222222222,28.9,2019,2019,2019,2019
AUS,Australia,11.2,9.5,65.2,7.0732,2019,2019,2019,2019
AUT,Austria,20.6,11.6,51.1,26.722,2019,2019,2019,2019
BEL,Belgium,15.4,9.2,55.4,30.2814,2019,2019,2019,2019
CAN,Canada,10.3,8,59.8,10.0683,2019,2019,2019,2019
CHL,Chile,24.5,7.1,74.2,30.7534,2019,2019,2019,2019
COL,Colombia,,4.1,,25.9564,2019,2019,2019,2019
CRI,Costa Rica,4.2,3.1,,18.5842,2019,2019,2019,2019
CZE,Czech Republic,18.1,11.9,58.4,58.5256,2019,2019,2019,2019
DNK,Denmark,16.9,9.5,48.8,22.4931,2019,2019,2019,2019
EST,Estonia,17.9,10.4,51.3,12.0481,2019,2019,2019,2019
FIN,Finland,13,8.2,67.6,6.965,2019,2019,2019,2019
FRA,France,24,11.4,49,20.3434,2019,2019,2019,2019
DEU,Germany,18.8,10.6,60,32.4287,2019,2019,2019,2019
GRC,Greece,24.9,6.3,57.2,54.5872,2019,2019,2019,2019
HUN,Hungary,24.9,11.4,67.6,71.6649,2019,2019,2019,2019
ISL,Iceland,8.2,7.7,65.4,4.5837,2019,2019,2019,2019
IRL,Ireland,14,10.8,61,10.9708,2019,2019,2019,2019
ISR,Israel,16.4,3.1,50.9,26.7569,2019,2019,2019,2019
ITA,Italy,18.6,7.7,46.4,40.7807,2019,2019,2019,2019
JPN,Japan,16.7,7.1,27.2,31.308,2019,2019,2019,2019
KOR,Korea,16.4,8.3,33.7,42.6671,2019,2019,2019,2019
LVA,Latvia,22.6,12.9,58.7,58.6188,2019,2019,2019,2019
LTU,Lithuania,18.9,11.1,55,45.7156,2019,2019,2019,2019
LUX,Luxembourg,16.8,11,48.4,14.7914,2019,2019,2019,2019
MEX,Mexico,7.6,4.4,75.2,28.6879,2019,2019,2019,2019
NLD,Netherlands,15.4,8.2,48.4,26.7263,2019,2019,2019,2019
NZL,New Zealand,12.5,8.8,65.1,6.3304,2019,2019,2019,2019
NOR,Norway,9,6.1,48,7.3109,2019,2019,2019,2019
POL,Poland,17.1,11,56.7,73.2817,2019,2019,2019,2019
PRT,Portugal,14.2,10.4,67.6,20.3876,2019,2019,2019,2019
SVK,Slovak Republic,21,10.3,57.7,63.6494,2019,2019,2019,2019
SVN,Slovenia,17.4,11.1,56.5,39.6104,2019,2019,2019,2019
ESP,Spain,19.8,10.7,50.2,18.999,2019,2019,2019,2019
SWE,Sweden,10.4,7.1,49.1,6.4641,2019,2019,2019,2019
CHE,Switzerland,19.1,9.3,41.8,16.0047,2019,2019,2019,2019
TUR,Turkey,28,1.3,64.4,49.9227,2019,2019,2019,2019
GBR,United Kingdom,15.8,9.7,64.2,21.4122,2019,2019,2019,2019
USA,United States,10.9,8.9,73.1,14.526,2019,2019,2019,2019
